Year,GDP,Primary,Secondary,Tertiary,ln_GDP,growth_GDP,ln_Primary,growth_Primary,ln_Secondary,growth_Secondary,ln_Tertiary,growth_Tertiary
1963,740293,419584,147827,212022,13.514801332760387,2.093371102733066,12.947019023223392,-1.1610569398159853,11.903797950108753,6.007345361333982,12.26444532185495,5.250989605640122
1964,777773,429578,163647,223717,13.564189986807358,4.938865404697168,12.970558610437187,2.3539587213795343,12.005466947955615,10.166899784686123,12.318137139226447,5.369181737149731
1965,836759,466909,175735,235689,13.637291374916536,7.310138810917799,13.053889656849496,8.333104641230804,12.07673245752412,7.126550956850508,12.370268418340046,5.213127911359905
1966,806176,422167,181528,242501,13.60005735993407,-3.723401498246659,12.953156249333022,-10.073340751647386,12.109165190761106,3.243273323698581,12.398761113062513,2.8492694722466183
1967,814381,417423,188409,250104,13.610183594447307,1.012623451323691,12.94185537512581,-1.130087420721182,12.146370410684053,3.7205219922947563,12.429632110340373,3.087099727786047
1968,880655,475450,194811,259293,13.688421227768806,7.82376333214998,13.07201700296759,13.016162784177965,12.179785136768789,3.3414726084735946,12.465713975404555,3.608186506418143
1969,903637,475750,204687,270748,13.714183010059491,2.576178229068482,13.072647785158395,0.063078219080559,12.229237262060632,4.945212529184317,12.50894377794768,4.322980254312547
1970,962522,505790,220468,284179,13.777312202025714,6.312919196622246,13.13387684236222,6.122905720382477,12.303507838620874,7.427057656024161,12.5573596002894,4.841582234172037
1971,1010777,536361,223972,297615,13.826229899983238,4.89176979575241,13.19256272081126,5.868587844904027,12.319276323024026,1.5768484403151817,12.60355598389668,4.61963836072794
1972,1020983,527892,229546,309155,13.836276446665384,1.0046546682145774,13.176646996311579,-1.591572449968126,12.343858724128028,2.4582401104002116,12.641598048234545,3.804206433786561
1973,1017730,505371,237350,318696,13.833085214980784,-0.31912316845996713,13.133048091997082,-4.359890431449642,12.377291123979465,3.3432399851436756,12.671992949338273,3.039490110372789
1974,1064051,539479,238500,329215,13.877593880065836,4.450866508505236,13.19835913799224,6.531104599515736,12.382124589310534,0.483346533106932,12.704466311753073,3.2473362414799922
1975,1076403,533787,240911,341610,13.889135484899008,1.1541604833171348,13.187752161965484,-1.0606976026755532,12.392182849660937,1.0058260350403359,12.74142501447276,3.6958702719687153
1976,1173327,602278,256859,362446,13.97535386116433,8.62183762653217,13.308474411716848,12.072224975136336,12.45628257518809,6.4099725527153595,12.80063077666316,5.920576219040008
1977,1187992,571756,280683,379125,13.98777504487532,1.2421183710991102,13.256467605927035,-5.2006805789812205,12.544981197637451,8.869862244936044,12.845621244990882,4.49904683277218
1978,1276734,625860,301587,396756,14.059815812612294,7.204076773697388,13.346881982898072,9.04143769710366,12.616813810738682,7.183261310123079,12.891076761147652,4.545551615676935
1979,1346988,640471,323462,421736,14.113381546666849,5.356573405455478,13.369959122166641,2.3077139268568914,12.6868369207994,7.002311006071871,12.9521348048365,6.105804368884904
1980,1276924,565622,311858,432674,14.05996461875654,-5.341692791030894,13.24568128955486,-12.42778326117815,12.650303234984214,-3.6533685815186345,12.97773983658697,2.5605031750469465
1981,1368481,638166,326155,447601,14.129211923552095,6.924730479555485,13.36635371657165,12.06724270167907,12.695128007476194,4.482477249197991,13.011657489555034,3.391765296806426
1982,1445466,672703,350145,473008,14.183942318888992,5.473039533689672,13.419059203644009,5.270548707235889,12.76610263338725,7.097462591105597,13.06686758065028,5.521009109524577
1983,1487737,678705,350566,508462,14.212766731441699,2.8824412552706846,13.427941849689908,0.8882646045899278,12.767304270155213,0.12016367679628104,13.139145762081503,7.227818143122278
1984,1604581,742153,380406,541068,14.28837322127434,7.560648983264073,13.517310700354248,8.93688506643393,12.848994382399644,8.169011224443068,13.201300243090708,6.21544810092054
1985,1668142,753609,397385,576650,14.3272209901718,3.884776889746,13.532628944848136,1.5318244493888855,12.892660863042739,4.3666480643095085,13.264990775654084,6.369053256337587
1986,1737565,759861,414383,621814,14.367995265793287,4.077427562148728,13.54089080079839,0.826185595025386,12.934545945919915,4.188508287717596,13.34039629163155,7.540551597746514
1987,1812538,766830,434895,671871,14.410238631008434,4.224336521514793,13.55002041301899,0.912961222059927,12.982859901623803,4.831395570388786,13.41782163679207,7.7425345160520465
1988,1876601,759447,460197,718101,14.444972719716555,3.4734088708120225,13.540345815831225,-0.9674597187764533,13.03940993765733,5.655003603352782,13.484365506661149,6.654386986907923
1989,2067262,878715,497804,770973,14.541735584380723,9.676286466416784,13.686215892010816,14.587007617959102,13.11796170423891,7.8551766581579585,13.555408632477018,7.104312581586925
1990,2194057,896069,539607,838403,14.601262899425144,5.952731504442177,13.705772697920604,1.9556805909788366,13.19859637580387,8.063467156495996,13.639254170786788,8.384553830977026
1991,2310015,939526,577004,884930,14.652764575983387,5.150167655824234,13.753130771747568,4.735807382696322,13.26560447787522,6.7008102071349995,13.693263824816611,5.400965402982294
1992,2343060,927985,576839,932964,14.66696832535667,1.4203749373283614,13.7407708478446,-1.2359923902968362,13.265318477091535,-0.028600078368512527,13.74612189387605,5.2858069059437796
1993,2468738,982117,597457,987780,14.719217646860262,5.224932150359152,13.797465724842299,5.6694876997699595,13.30043759367089,3.5119116579355847,13.803215279870123,5.70933859940741
1994,2608995,1012168,633646,1064324,14.774475647673947,5.525800081368537,13.827605122956898,3.0139398114599203,13.359245717857128,5.8808124186237265,13.877850413807773,7.46351339376492
1995,2775835,1066097,691412,1118097,14.836462160801975,6.1986513128028164,13.879514873939673,5.190975098277484,13.44649116240814,8.724544455101224,13.927138691008704,4.928827720093132
1996,2978143,1068400,774175,1220605,14.906810509877792,7.034834907581633,13.881672760217944,0.21578862782707375,13.559553225206734,11.30620627985941,14.014857195430201,8.77185044214972
1997,3215639,1159707,829254,1303068,14.983536651736571,7.672614185877968,13.963677944970382,8.20051847524379,13.62828178043348,6.872855522674648,14.080232042005443,6.537484657524217
1998,3353965,1149580,857191,1420291,15.02565378600971,4.211713427313946,13.954907216240015,-0.8770728730366883,13.661416043226394,3.3134262792913205,14.16637233815971,8.614029615426766
1999,3578123,1216188,894480,1536961,15.09034891920672,6.469513319700937,14.011231934821245,5.6324718581230115,13.70399782282125,4.258177959485643,14.245317648093405,7.894530993369386
2000,3864524,1251357,949983,1729004,15.167349075886282,7.700015667956173,14.039739120440927,2.8507185619682573,13.764199368679769,6.020154585851856,14.363056078138749,11.773843004534434
2001,4024830,1255564,1011519,1817280,15.20799323191799,4.064415603170879,14.04309543198745,0.33563115465220505,13.826963719397702,6.2764350717932516,14.412851435671206,4.979535753245656
2002,4241595,1323123,1038870,1930827,15.260449935715751,5.2456703797760795,14.095505409297143,5.2409977309693545,13.853644141945177,2.6680422547475047,14.473458966511597,6.060753084039128
2003,4406073,1264769,1112244,2053404,15.298494374523106,3.8044438807354197,14.050400054773107,-4.51053545240363,13.921890154183071,6.82460122378945,14.535009461833805,6.155049532220858
2004,4757084,1365910,1200125,2204355,15.375145433446448,7.665105892334267,14.127331431144357,7.693137637125069,13.997936275999924,7.604612181685333,14.605945507064837,7.093604523103103
